mode,map,team,player,kills,deaths,hill time,damage,first blood,major  ,type,opponent,score,map number,W/L,rounds,,series k/d,hardpoint k/d,search & destroy k/d,control k/d,total kills,total deaths,all hardpoint k/d,all search & destroy k/d,all control k/d,overall k/d
Search & Destroy,Vault,Atlanta Faze,Simp,6,7,,919,0,Major 1,Online,Los Angeles Thieves,4-6,5,L,10,,0.99,,0.86,,536,496,1.07,1.07,1.10,1.08
Search & Destroy,Vault,Los Angeles Thieves,Envoy,6,5,,705,1,Major 1,Online,Atlanta Faze,6-4,5,W,10,,1.15,,1.20,,589,590,0.99,0.97,1.02,1.00
Search & Destroy,Vault,Los Angeles Thieves,Ghosty,10,8,,1125,2,Major 1,Online,Atlanta Faze,6-4,5,W,10,,1.05,,1.25,,578,562,1.01,0.94,1.12,1.03
Search & Destroy,Vault,Los Angeles Thieves,Hydra,7,5,,1029,1,Major 1,Online,Atlanta Faze,6-4,5,W,10,,1.07,,1.40,,659,607,1.17,0.73,1.08,1.09
Search & Destroy,Vault,Los Angeles Thieves,Scrap,7,4,,1297,1,Major 1,Online,Atlanta Faze,6-4,5,W,10,,0.95,,1.75,,640,565,1.08,1.41,1.15,1.13
Hardpoint,Vault,Cloud9 New York,Attach,21,28,33,2722,,Major 1,Online,Optic Texas,130-250,1,L,,,0.82,0.75,,,467,546,0.80,1.03,0.90,0.86
Hardpoint,Vault,Cloud9 New York,Kremp,18,25,34,2395,,Major 1,Online,Optic Texas,130-250,1,L,,,0.77,0.72,,,535,552,0.97,1.00,0.95,0.97
Hardpoint,Vault,Cloud9 New York,Mack,20,28,39,3116,,Major 1,Online,Optic Texas,130-250,1,L,,,0.83,0.71,,,554,560,1.06,1.00,0.85,0.99
Hardpoint,Vault,Cloud9 New York,Sib,19,24,37,2485,,Major 1,Online,Optic Texas,130-250,1,L,,,0.77,0.79,,,467,564,0.81,0.88,0.85,0.83
Hardpoint,Vault,Optic Texas,Dashy,27,25,32,3465,,Major 1,Online,Cloud9 New York,250-130,1,W,,,1.10,1.08,,,621,557,1.12,1.21,1.07,1.11
